transaction_id,user_id,amount,hour,device_risk_score,ip_risk_score,transaction_type,merchant_category,country,is_fraud
104,27891,65.85,15,0.3365,0.3203,purchase,travel,FR,0
105,97985,73.08,7,0.2282,0.2501,purchase,retail,NL,0
106,21148,46.98,7,0.4499,0.0773,purchase,electronics,DE,0
107,34004,7.92,14,0.0599,0.1649,purchase,grocery,FR,0
108,37399,125.9,3,0.0417,0.3698,purchase,grocery,DE,0
109,37005,60.3,2,0.0404,0.2733,transfer,travel,US,0
110,20152,15.29,11,0.6438,0.2574,purchase,grocery,GB,0
111,94182,21.77,10,0.1867,0.2221,refund,grocery,US,0
112,25925,51.76,13,0.2028,0.5545,purchase,retail,DE,0
113,75613,75.78,23,0.1458,0.2379,purchase,travel,DE,0
114,73565,28.08,11,0.3609,0.145,purchase,grocery,US,0
115,29725,85.77,13,0.0698,0.1417,purchase,travel,FR,0
116,70212,9.26,20,0.1655,0.2612,transfer,grocery,NL,0
117,17096,17.53,12,0.2016,0.0683,transfer,electronics,GB,0
118,35438,7.35,17,0.3227,0.2895,purchase,gaming,NL,0
119,92697,19.83,13,0.3042,0.2074,purchase,gaming,GB,0
120,84177,153.22,14,0.4957,0.123,purchase,retail,DE,0
121,47543,244.48,21,0.0714,0.0504,transfer,grocery,DE,0
122,70117,51.9,0,0.1274,0.1309,transfer,grocery,DE,0
123,23655,24.71,20,0.368,0.0329,purchase,retail,FR,0
124,48853,153.28,12,0.1892,0.0339,purchase,electronics,GB,0
125,13118,29.48,7,0.1995,0.0398,withdrawal,retail,CN,1
126,11952,63.58,14,0.2606,0.1378,purchase,travel,GB,0
127,95998,11.26,11,0.2266,0.2605,purchase,grocery,NL,0
128,69034,26.14,9,0.1993,0.2035,purchase,gaming,GB,0
129,22965,143.98,5,0.2196,0.1345,purchase,travel,NL,0
130,80444,17.48,21,0.0178,0.2365,purchase,gaming,DE,0
131,54958,22.5,14,0.3042,0.3902,transfer,travel,GB,0
132,30155,43.0,19,0.4385,0.1805,purchase,retail,NL,0
133,95234,54.09,9,0.1948,0.1148,purchase,retail,NL,0
134,20702,75.81,9,0.2799,0.2417,withdrawal,gaming,GB,0
135,74837,45.4,10,0.0118,0.066,purchase,grocery,DE,0
136,38364,106.34,22,0.2472,0.4356,transfer,travel,GB,1
137,90808,416.33,8,0.4592,0.4012,purchase,grocery,DE,0
138,73203,225.26,12,0.2391,0.0429,purchase,travel,NL,0
139,72475,38.19,21,0.0687,0.0256,purchase,grocery,DE,0
140,96624,41.05,19,0.0525,0.1671,purchase,retail,DE,0
141,25485,1104.05,12,0.6532,0.7082,purchase,grocery,CN,0
142,45301,26.66,10,0.7599,0.7205,purchase,travel,CN,0
143,47958,13.79,14,0.0985,0.2105,purchase,travel,FR,0
144,84700,52.6,14,0.161,0.2257,purchase,gaming,DE,0
145,67855,106.14,15,0.2476,0.0883,purchase,electronics,GB,0
146,78488,57.79,13,0.1795,0.1144,refund,electronics,GB,0
147,46227,39.16,1,0.1294,0.067,purchase,electronics,DE,0
148,89827,12.41,5,0.5567,0.0784,purchase,retail,GB,0
149,18085,40.46,22,0.3364,0.1932,purchase,crypto,DE,0
150,69704,22.1,14,0.7029,0.6255,purchase,retail,RU,1
151,92952,121.29,16,0.4945,0.3863,transfer,crypto,FR,0
152,95182,14.89,21,0.0249,0.3989,purchase,retail,DE,0
153,17763,34.53,10,0.0281,0.3964,transfer,electronics,US,0
154,92552,30.59,13,0.3092,0.037,purchase,grocery,DE,0
155,78041,23.5,10,0.1651,0.1131,purchase,electronics,DE,0
156,13034,312.96,2,0.389,0.3218,purchase,crypto,RU,1
157,91489,52.5,20,0.4955,0.052,purchase,retail,DE,0
158,56498,61.98,9,0.1341,0.0587,purchase,gaming,DE,0
159,46217,61.43,15,0.1522,0.104,purchase,gaming,DE,0
160,39497,18.54,8,0.1789,0.0754,purchase,electronics,FR,0
161,15149,10.5,6,0.1841,0.2884,purchase,retail,DE,0
162,86195,53.15,7,0.3303,0.1475,purchase,retail,GB,0
163,99725,27.66,13,0.6831,0.1509,transfer,grocery,FR,0
164,46829,54.87,15,0.2323,0.027,withdrawal,crypto,CN,1
165,97509,202.87,18,0.1232,0.6242,purchase,gaming,US,0
166,92218,210.99,23,0.1401,0.1451,purchase,retail,US,0
167,48346,771.91,14,0.0145,0.3081,purchase,retail,GB,0
168,91707,19.12,13,0.0581,0.2107,purchase,grocery,DE,0
169,80807,68.99,17,0.029,0.1689,purchase,gaming,FR,0
170,42775,89.15,5,0.2277,0.2412,purchase,gaming,CN,0
171,22363,81.01,18,0.2676,0.05,purchase,gaming,GB,0
172,61742,31.46,17,0.0254,0.1165,withdrawal,grocery,FR,0
173,55697,126.13,13,0.3356,0.3579,purchase,gaming,FR,0
174,12489,42.54,1,0.4525,0.4844,purchase,crypto,DE,0
175,33582,47.41,8,0.6158,0.0158,transfer,gaming,US,0
176,42133,399.7,20,0.7659,0.7625,purchase,grocery,RU,1
177,89882,11.51,10,0.1196,0.1251,purchase,grocery,US,0
178,69227,39.13,5,0.8384,0.7033,purchase,crypto,US,1
179,22902,73.56,21,0.2152,0.0903,withdrawal,retail,NL,0
180,29018,34.08,14,0.1535,0.0133,purchase,electronics,RU,0
181,98840,63.12,12,0.1014,0.0892,withdrawal,retail,GB,0
182,24295,51.93,12,0.7862,0.0602,purchase,grocery,US,0
183,91310,76.97,12,0.6915,0.2342,purchase,crypto,DE,1
184,95863,49.59,17,0.2397,0.4538,transfer,grocery,FR,0
185,71514,40.9,10,0.9279,0.3859,purchase,electronics,FR,0
186,62515,554.51,6,0.107,0.4035,purchase,grocery,DE,0
187,95157,285.39,15,0.8334,0.3994,transfer,travel,GB,1
188,60837,35.91,15,0.3652,0.1756,purchase,retail,FR,0
189,57852,12.34,10,0.0878,0.1226,purchase,grocery,NL,0
190,83834,68.97,10,0.3049,0.2456,purchase,retail,FR,0
191,28349,21.38,11,0.0332,0.0727,purchase,retail,DE,0
192,60157,85.16,9,0.0808,0.2193,purchase,retail,FR,0
193,85378,17.83,20,0.2038,0.3555,purchase,grocery,FR,0
194,68162,54.1,18,0.3282,0.2393,purchase,retail,FR,0
195,39379,39.17,23,0.165,0.2475,purchase,travel,DE,0
196,37652,6.94,22,0.2339,0.3453,purchase,travel,GB,0
197,64017,30.69,10,0.0593,0.5364,purchase,grocery,RU,0
198,43975,114.88,10,0.21,0.1268,purchase,retail,DE,0
199,41631,28.97,15,0.2058,0.0822,purchase,retail,US,0
200,34626,36.94,1,0.1306,0.0559,purchase,grocery,DE,0
201,18251,556.88,23,0.4055,0.3047,purchase,retail,DE,0
202,63881,83.61,0,0.0594,0.0611,purchase,grocery,GB,0
203,36130,101.34,13,0.0174,0.1698,purchase,grocery,US,0
204,63589,13.06,15,0.2426,0.1136,purchase,grocery,US,0
205,93342,62.99,11,0.6336,0.5912,transfer,gaming,RU,1
206,24895,110.88,23,0.8383,0.3225,refund,travel,CN,1
207,86228,185.58,20,0.3142,0.4816,purchase,grocery,DE,0
208,78778,73.04,14,0.1368,0.0998,purchase,crypto,DE,0
209,31284,344.56,14,0.2237,0.4656,transfer,travel,US,0
210,27432,21.87,9,0.5046,0.4641,withdrawal,retail,DE,0
211,45620,9.5,14,0.1036,0.2707,purchase,retail,DE,0
212,71665,42.78,16,0.032,0.0041,purchase,crypto,US,0
213,63611,33.65,12,0.2837,0.3384,purchase,crypto,DE,0
214,15657,74.11,17,0.0894,0.2725,purchase,grocery,FR,0
215,22713,106.03,5,0.216,0.0499,purchase,electronics,CN,0
216,92655,39.48,10,0.2459,0.1591,purchase,travel,GB,0
217,30103,34.65,21,0.2876,0.2642,purchase,retail,FR,0
218,15406,66.31,10,0.7074,0.2583,purchase,electronics,FR,0
219,33674,34.2,14,0.2161,0.1916,purchase,grocery,DE,0
220,15793,31.85,12,0.0279,0.3197,purchase,grocery,US,0
221,59262,102.67,21,0.6199,0.0051,purchase,gaming,FR,0
222,17761,124.07,7,0.4851,0.3833,purchase,grocery,US,0
223,10528,106.84,9,0.2617,0.2319,purchase,travel,RU,0
224,50873,36.86,19,0.2741,0.0733,withdrawal,electronics,FR,0
225,69009,52.55,15,0.06,0.1979,purchase,electronics,DE,0
226,59567,37.49,13,0.2931,0.3552,purchase,travel,US,0
227,29763,241.78,11,0.381,0.6633,purchase,retail,CN,1
228,23632,50.49,16,0.2871,0.3962,purchase,electronics,DE,1
229,57729,22.33,11,0.0589,0.1497,withdrawal,retail,DE,0
230,77571,38.08,11,0.1775,0.2116,refund,gaming,DE,0
231,51959,24.04,21,0.0855,0.0462,purchase,travel,DE,0
232,21105,41.78,15,0.1429,0.3748,purchase,grocery,RU,0
233,46746,17.58,20,0.2544,0.3188,transfer,electronics,NL,0
234,94395,14.32,22,0.0223,0.4004,purchase,grocery,GB,0
235,96104,120.22,13,0.2913,0.3714,purchase,retail,DE,0
236,49086,18.65,14,0.0433,0.0976,refund,retail,DE,0
237,95841,42.53,15,0.3324,0.3883,withdrawal,gaming,DE,0
238,58874,95.71,18,0.2009,0.2672,withdrawal,electronics,DE,0
239,76553,25.83,20,0.7314,0.7021,purchase,travel,CN,1
240,78926,498.29,15,0.1045,0.5205,purchase,grocery,NL,0
241,56784,83.56,7,0.0405,0.1903,purchase,electronics,DE,0
242,84708,55.01,21,0.2874,0.1074,purchase,gaming,US,0
243,97060,78.68,15,0.369,0.3878,transfer,electronics,NL,0
244,81731,136.61,19,0.1047,0.2898,transfer,crypto,FR,0
245,52123,61.02,11,0.1832,0.0184,purchase,crypto,FR,0
246,40286,44.59,12,0.1112,0.2613,transfer,grocery,FR,0
247,26868,27.13,15,0.7367,0.1638,purchase,travel,DE,0
248,77026,76.85,17,0.098,0.2725,transfer,crypto,NL,0
249,71047,24.95,5,0.1781,0.31,purchase,gaming,NL,0
250,17838,168.53,11,0.4156,0.0469,purchase,grocery,DE,0
251,71089,40.3,17,0.1122,0.4606,purchase,retail,CN,0
252,66564,45.72,23,0.1976,0.1813,purchase,retail,FR,0
253,63762,110.61,0,0.1887,0.1982,purchase,retail,GB,0
254,42061,36.4,9,0.2583,0.0582,purchase,retail,FR,0
255,79415,49.39,12,0.142,0.1669,purchase,electronics,DE,0
256,11540,91.31,8,0.5816,0.4612,purchase,grocery,US,0
257,29592,12.17,1,0.21,0.1696,refund,grocery,GB,0
258,81223,33.36,13,0.1066,0.5647,purchase,retail,DE,0
259,78520,21.42,2,0.1628,0.8211,purchase,crypto,CN,1
260,89143,86.04,15,0.0594,0.1438,purchase,grocery,FR,0
261,99543,44.96,11,0.3043,0.0333,purchase,retail,US,0
262,21438,148.0,10,0.2271,0.23,purchase,travel,GB,0
263,26241,11.14,23,0.2029,0.2125,refund,crypto,NL,0
264,24845,10.11,12,0.3173,0.0455,purchase,gaming,US,0
265,55954,81.8,17,0.1978,0.015,purchase,retail,DE,0
266,21561,88.76,9,0.1371,0.0412,withdrawal,travel,US,0
267,96173,36.08,18,0.7887,0.6212,withdrawal,retail,US,0
268,99969,59.76,18,0.3244,0.1216,withdrawal,grocery,DE,0
269,86719,80.11,9,0.266,0.1902,withdrawal,grocery,CN,0
270,15031,149.05,0,0.4822,0.4545,withdrawal,crypto,CN,1
271,51453,123.88,23,0.8747,0.4379,purchase,grocery,CN,1
272,72558,21.29,15,0.0615,0.0461,purchase,retail,RU,0
273,39778,234.76,18,0.8909,0.4544,transfer,grocery,GB,1
274,13585,23.32,15,0.758,0.83,withdrawal,grocery,FR,0
275,40472,49.96,11,0.1655,0.2383,transfer,travel,US,0
276,68430,91.7,17,0.133,0.2162,refund,travel,DE,0
277,43660,15.78,9,0.1444,0.134,withdrawal,retail,GB,0
278,97262,35.94,12,0.0465,0.3745,purchase,retail,FR,0
279,82246,34.55,23,0.1041,0.1573,purchase,electronics,FR,0
280,25524,60.66,8,0.19,0.0855,refund,travel,CN,0
281,88459,66.0,7,0.5241,0.5932,transfer,grocery,DE,1
282,72096,42.21,7,0.1086,0.1341,purchase,grocery,NL,0
283,38458,26.74,7,0.2258,0.2937,withdrawal,travel,US,0
284,73184,122.89,23,0.1833,0.1748,purchase,gaming,DE,0
285,95583,26.89,7,0.1975,0.224,purchase,grocery,GB,0
286,39423,33.17,8,0.2655,0.3392,withdrawal,grocery,DE,0
287,35551,21.99,0,0.8012,0.5689,purchase,electronics,FR,1
288,89516,80.33,15,0.0971,0.013,purchase,grocery,DE,0
289,62023,23.18,17,0.0779,0.1131,purchase,travel,US,0
290,72736,65.93,12,0.1156,0.3334,withdrawal,grocery,NL,0
291,99584,55.84,22,0.0684,0.1276,purchase,electronics,DE,0
292,29258,9.16,2,0.4174,0.2176,purchase,travel,NL,1
293,79420,70.78,3,0.3097,0.1351,purchase,retail,FR,0
294,22791,67.92,14,0.389,0.071,purchase,retail,NL,0
295,29816,250.78,14,0.0449,0.2293,purchase,retail,US,0
296,85852,22.52,10,0.4701,0.0522,purchase,retail,DE,0
297,42470,77.59,20,0.3307,0.2137,refund,retail,DE,0
298,13141,17.41,13,0.5848,0.6822,purchase,crypto,GB,0
299,41485,23.38,9,0.0866,0.611,refund,electronics,FR,0
300,88167,18.58,6,0.1427,0.2953,withdrawal,grocery,GB,0
301,48830,46.04,6,0.1943,0.1747,purchase,retail,DE,0
302,18370,123.32,20,0.0627,0.1322,withdrawal,electronics,NL,0
303,72333,157.39,9,0.2449,0.0383,purchase,crypto,DE,0
304,88463,65.28,20,0.0547,0.276,withdrawal,grocery,FR,0
305,64994,1305.79,0,0.4308,0.3227,withdrawal,gaming,RU,1
306,32937,262.46,7,0.1461,0.074,purchase,grocery,US,0
307,48451,31.41,22,0.4658,0.3659,purchase,electronics,DE,0
308,82671,10.62,18,0.18,0.0332,purchase,grocery,DE,0
309,25694,104.08,7,0.0697,0.1654,withdrawal,gaming,GB,0
310,99939,8.91,6,0.3137,0.1094,refund,retail,DE,0
311,34909,22.38,17,0.4286,0.3161,purchase,gaming,FR,0
312,35294,66.16,5,0.2941,0.1697,transfer,retail,NL,0
313,90676,38.98,9,0.1479,0.0473,purchase,electronics,US,0
314,86161,36.15,17,0.0716,0.0728,purchase,retail,DE,0
315,40382,15.59,20,0.3188,0.2087,purchase,electronics,CN,0
316,80871,42.13,17,0.1325,0.0677,transfer,retail,NL,0
317,10242,99.79,19,0.1084,0.1192,purchase,travel,US,0
318,80874,43.25,13,0.281,0.0739,purchase,grocery,FR,0
319,89711,21.0,17,0.4179,0.1209,refund,retail,DE,0
320,39438,14.73,10,0.3419,0.1473,purchase,grocery,US,0
321,32692,21.37,17,0.2028,0.0584,purchase,crypto,FR,0
322,84428,59.35,15,0.3741,0.5096,withdrawal,electronics,FR,0
323,68389,56.94,13,0.2813,0.2082,transfer,retail,FR,0
324,95123,21.53,23,0.1808,0.0182,purchase,crypto,DE,0
325,12359,6.49,12,0.0779,0.3036,refund,electronics,DE,0
326,11124,60.76,14,0.0636,0.2985,purchase,retail,CN,0
327,13175,19.83,12,0.4438,0.2267,purchase,crypto,NL,0
328,82633,76.38,9,0.0235,0.3566,purchase,grocery,FR,0
329,18715,22.36,10,0.2171,0.2236,purchase,grocery,DE,0
330,17684,18.36,22,0.1472,0.0449,purchase,retail,US,0
331,34839,48.43,11,0.144,0.3963,purchase,crypto,RU,0
332,28580,2093.51,15,0.1491,0.1463,purchase,retail,DE,0
333,71543,80.37,13,0.2871,0.4551,purchase,travel,GB,0
334,44321,341.19,19,0.4801,0.2347,purchase,travel,CN,0
335,32636,57.69,17,0.6651,0.47,purchase,electronics,CN,0
336,98847,34.76,6,0.1546,0.2225,purchase,retail,NL,0
337,71834,16.38,10,0.1527,0.1024,purchase,grocery,FR,0
338,75300,5.03,16,0.0701,0.0589,refund,retail,DE,0
339,71933,185.01,7,0.1931,0.0397,purchase,retail,FR,0
340,99167,155.75,12,0.1332,0.4651,purchase,grocery,US,0
341,87682,59.38,10,0.1402,0.2869,purchase,grocery,DE,0
342,45105,47.7,5,0.2964,0.1168,transfer,grocery,DE,0
343,47731,11.37,23,0.1692,0.0814,purchase,grocery,US,0
344,75109,35.29,21,0.0573,0.5707,purchase,retail,RU,0
345,57894,195.1,16,0.3118,0.2025,purchase,retail,DE,0
346,70227,47.55,8,0.1075,0.2995,transfer,travel,DE,0
347,71527,26.31,23,0.1335,0.0371,purchase,gaming,FR,0
348,10445,9.54,14,0.3021,0.0545,purchase,grocery,CN,0
349,45950,137.45,22,0.3327,0.0146,purchase,retail,DE,0
350,18400,40.06,3,0.1108,0.3833,transfer,retail,DE,0
351,69432,9.55,8,0.2225,0.3711,purchase,retail,CN,0
352,11183,19.38,15,0.0333,0.2722,purchase,grocery,FR,0
353,90460,14.35,20,0.1759,0.1229,purchase,retail,NL,0
354,52280,38.02,8,0.9484,0.5721,purchase,retail,DE,0
355,50864,50.72,10,0.0717,0.0697,purchase,gaming,NL,0
356,61927,27.72,13,0.2402,0.0921,refund,grocery,FR,0
357,50240,82.31,23,0.0078,0.3282,transfer,retail,DE,0
358,13760,45.47,17,0.4302,0.4803,withdrawal,retail,DE,0
359,82071,104.9,20,0.2377,0.1073,purchase,crypto,DE,0
360,32326,213.57,15,0.2449,0.0435,purchase,electronics,DE,0
361,66181,565.96,19,0.1924,0.2107,purchase,retail,DE,0
362,80691,26.32,12,0.1707,0.1469,transfer,grocery,US,0
363,19491,19.73,7,0.5686,0.1,purchase,electronics,DE,0
364,20991,17.77,16,0.38,0.0367,purchase,travel,RU,0
365,11136,35.54,14,0.2774,0.1247,purchase,travel,US,0
366,71737,9.86,12,0.4315,0.1136,purchase,grocery,FR,0
367,97453,54.62,9,0.1192,0.1729,purchase,electronics,DE,0
368,50794,8.42,17,0.1811,0.3872,purchase,travel,RU,0
369,78712,48.78,18,0.1075,0.2342,transfer,electronics,GB,0
370,17235,13.48,10,0.1454,0.0085,purchase,retail,DE,0
371,33858,30.75,20,0.2609,0.2754,purchase,retail,DE,0
372,76161,71.08,10,0.1479,0.1835,refund,grocery,US,0
373,94531,301.4,6,0.6464,0.4721,purchase,retail,GB,0
374,86261,17.01,8,0.2496,0.5177,transfer,retail,DE,0
375,20201,37.42,12,0.3993,0.1694,purchase,travel,DE,0
376,57941,22.98,5,0.152,0.0755,purchase,travel,GB,0
377,76312,20.3,16,0.1094,0.3039,purchase,grocery,US,0
378,59026,23.16,17,0.0809,0.1055,purchase,travel,FR,0
379,34914,85.67,13,0.46,0.0472,purchase,crypto,DE,0
380,14993,28.08,20,0.1821,0.1571,purchase,retail,DE,0
381,67499,287.7,21,0.1509,0.3208,purchase,travel,NL,0
382,95700,60.56,11,0.2922,0.4016,purchase,electronics,DE,0
383,18870,18.02,6,0.0771,0.5377,purchase,grocery,DE,0
384,89046,31.13,9,0.5535,0.4354,purchase,retail,DE,0
385,82418,21.51,15,0.1518,0.4126,purchase,grocery,NL,0
386,99395,83.94,11,0.331,0.203,purchase,electronics,FR,0
387,40354,10.56,15,0.1385,0.267,purchase,electronics,CN,0
388,76505,13.6,15,0.2559,0.1912,purchase,travel,DE,0
389,30952,25.72,14,0.2094,0.1479,purchase,travel,CN,0
390,65984,75.98,7,0.1979,0.3191,purchase,gaming,FR,0
391,19280,121.28,9,0.2706,0.1834,purchase,grocery,CN,0
392,88611,137.48,10,0.0994,0.2461,purchase,grocery,DE,0
393,53253,66.71,18,0.2073,0.0844,purchase,retail,DE,0
394,94363,39.63,15,0.2713,0.1357,purchase,retail,DE,0
395,86430,141.26,7,0.3284,0.7792,purchase,electronics,NL,1
396,92769,83.55,14,0.1214,0.3628,purchase,grocery,DE,0
397,73164,16.07,15,0.3366,0.6335,purchase,retail,DE,0
398,13255,8.86,12,0.1936,0.0193,purchase,travel,FR,0
399,97652,61.63,3,0.092,0.2834,withdrawal,gaming,FR,0
400,79567,18.09,8,0.2002,0.37,withdrawal,travel,NL,0
401,36428,40.23,7,0.7301,0.5955,purchase,crypto,DE,0
402,43357,47.07,5,0.1889,0.0456,withdrawal,gaming,GB,0
403,80451,52.5,10,0.2051,0.1012,purchase,travel,DE,0
404,83200,94.36,17,0.0119,0.2769,purchase,retail,GB,0
405,23263,86.25,7,0.2204,0.3155,transfer,retail,DE,0
406,15410,232.87,6,0.1266,0.0031,purchase,grocery,DE,0
407,70417,29.2,7,0.1067,0.2433,purchase,retail,NL,0
408,57003,46.6,9,0.2192,0.4493,transfer,grocery,DE,0
409,65832,25.62,8,0.0512,0.8663,transfer,crypto,DE,0
410,98219,35.98,0,0.0971,0.1003,purchase,crypto,RU,0
411,69228,393.64,9,0.4299,0.0933,purchase,electronics,FR,0
412,64189,49.64,23,0.051,0.4237,purchase,travel,US,0
413,19543,62.35,10,0.154,0.0173,transfer,electronics,US,0
414,14995,23.34,8,0.1026,0.1596,transfer,crypto,DE,0
415,95065,97.51,13,0.6858,0.1612,transfer,retail,DE,1
416,96398,101.2,12,0.2092,0.3405,purchase,electronics,FR,0
